MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature,label
21.16,30.63,25.44,14.24,38.5,6.08,2.26,1.45,29.15,14.23,56.5,33.8,excellent
21.35,31.29,25.82,14.3,39.83,6.26,2.23,1.45,29.46,14.17,56.5,33.8,excellent
21.54,31.97,26.2,14.36,40.67,6.36,2.24,1.47,29.77,14.29,56.5,33.8,excellent
21.74,32.49,26.46,14.42,40.96,6.41,2.24,1.47,29.93,14.23,56.5,33.9,excellent
21.93,32.85,26.72,14.47,41.54,6.28,2.24,1.47,30.09,14.23,56.5,33.9,excellent
21.93,33.21,26.72,14.47,41.25,6.26,2.24,1.47,30.09,14.23,56.5,33.9,excellent
22.03,33.4,26.85,14.47,41.54,6.31,2.24,1.47,30.09,14.23,56.5,33.9,excellent
22.03,33.21,26.98,14.42,41.54,6.31,2.24,1.47,30.09,14.29,56.5,33.9,excellent
22.14,33.77,27.39,14.59,41.83,6.36,2.24,1.48,30.41,14.4,56.5,34.1,excellent
22.14,33.96,27.53,14.59,42.44,6.36,2.24,1.49,30.57,14.46,56.5,34.1,excellent
22.34,34.15,27.53,14.59,42.74,6.36,2.26,1.49,30.73,14.4,56.5,34.1,excellent
22.24,33.96,27.67,14.53,42.44,6.36,2.26,1.49,30.57,14.4,56.5,34.1,excellent
22.34,33.77,27.53,14.59,42.74,6.36,2.27,1.49,30.57,15.0,56.5,34.1,excellent
22.44,33.96,27.53,14.59,43.05,6.41,2.27,1.49,30.73,15.0,56.5,34.1,excellent
22.54,33.96,27.67,14.65,43.05,6.41,2.27,1.49,30.73,15.06,56.5,34.1,excellent
22.75,34.53,27.95,14.71,44.01,6.52,2.27,1.5,31.06,15.18,56.5,34.3,excellent
22.75,34.93,28.09,14.71,44.34,6.52,2.27,1.5,31.23,15.18,56.5,34.3,excellent
22.75,34.93,27.95,14.65,44.01,6.52,2.27,1.5,31.06,15.31,56.5,34.3,excellent
22.65,34.93,27.95,14.59,44.01,6.46,2.26,1.5,31.06,15.12,56.5,34.3,excellent
22.65,34.73,28.09,14.59,44.01,6.41,2.26,1.5,30.9,15.06,56.5,34.3,excellent
19.54,28.49,24.96,13.41,31.82,5.34,2.26,1.56,26.2,13.72,56.5,34.5,excellent
21.74,31.8,27.12,14.53,39.29,5.96,2.38,1.63,29.93,14.88,56.5,34.4,excellent
21.64,31.97,27.25,14.47,39.56,5.88,2.37,1.62,29.93,14.82,56.5,34.5,excellent
21.64,31.8,27.12,14.42,39.56,5.93,2.36,1.61,29.77,14.82,56.5,34.4,excellent
21.54,31.8,27.12,14.42,39.29,5.93,2.36,1.59,29.77,14.76,56.5,34.5,excellent
21.64,31.97,27.25,14.47,39.83,5.96,2.36,1.61,29.93,14.82,56.5,34.5,excellent
21.64,32.14,27.25,14.53,40.11,6.03,2.37,1.62,29.93,14.82,56.5,34.4,excellent
21.64,32.14,27.39,14.53,40.11,6.06,2.37,1.61,29.93,14.82,56.5,34.4,excellent
21.64,32.14,27.25,14.53,39.83,5.96,2.37,1.62,30.09,14.76,56.5,34.4,excellent
21.74,32.49,27.39,14.59,40.39,5.98,2.37,1.62,30.09,14.82,56.5,34.4,excellent
21.74,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.4,excellent
21.64,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.5,excellent
21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,30.09,14.88,56.5,34.5,excellent
21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,29.93,14.88,56.5,34.5,excellent
21.64,32.49,27.53,14.59,40.67,5.91,2.36,1.62,30.25,14.82,56.5,34.5,excellent
21.64,32.49,27.67,14.65,40.96,5.88,2.37,1.62,30.25,14.88,56.5,34.5,excellent
21.74,32.67,27.81,14.65,41.25,5.84,2.37,1.62,30.41,14.94,56.5,34.5,excellent
21.74,32.85,27.81,14.65,41.25,5.86,2.36,1.62,30.41,14.94,56.5,34.5,excellent
21.74,33.03,27.95,14.65,41.25,5.88,2.37,1.62,30.41,14.94,56.5,34.5,excellent
21.74,33.21,27.95,14.71,41.25,5.86,2.37,1.62,30.57,14.94,56.5,34.5,excellent
21.84,33.4,28.09,14.71,41.83,5.74,2.37,1.63,30.57,14.94,56.5,34.5,excellent
21.93,33.58,28.09,14.77,41.83,5.91,2.37,1.63,30.57,15.0,56.5,34.5,excellent
21.93,33.58,28.23,14.77,42.13,5.93,2.38,1.65,30.73,15.0,56.5,34.5,excellent
21.93,33.77,28.23,14.71,41.83,5.64,2.38,1.63,30.73,15.0,56.5,34.5,excellent
21.93,33.77,28.23,14.71,41.83,5.86,2.38,1.63,30.57,15.12,56.5,34.5,excellent
21.93,33.77,28.23,14.71,41.83,5.81,2.37,1.63,30.57,14.94,56.5,34.5,excellent
21.93,33.58,28.23,14.71,41.83,5.67,2.38,1.65,30.73,15.12,56.5,34.5,excellent
21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.9,14.76,56.5,34.5,excellent
21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.73,14.58,56.6,34.5,excellent
22.03,33.96,28.37,14.77,42.13,5.74,2.38,1.65,30.9,14.58,56.6,34.5,excellent
22.03,33.77,28.37,14.77,42.13,5.76,2.4,1.66,30.9,15.18,56.6,34.5,excellent
22.03,33.96,28.52,14.83,42.13,5.76,2.41,1.67,30.9,15.18,56.6,34.5,excellent
22.14,33.96,28.52,14.83,42.13,5.79,2.41,1.67,30.9,15.18,56.6,34.5,excellent
22.03,34.15,28.66,14.83,42.13,5.86,2.38,1.67,30.9,15.25,56.6,34.5,excellent
22.14,34.15,28.66,14.83,42.13,5.91,2.41,1.68,30.9,14.7,56.6,34.5,excellent
22.14,34.15,28.81,14.83,42.44,5.84,2.41,1.68,31.06,14.82,56.6,34.5,excellent
22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.7,56.6,34.6,excellent
22.03,33.96,28.81,14.83,42.44,5.91,2.42,1.68,31.06,14.52,56.6,34.6,excellent
22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.64,56.6,34.6,excellent
22.14,33.77,28.96,14.83,42.13,5.79,2.44,1.7,31.06,14.64,56.6,34.6,excellent
22.03,33.77,28.66,14.83,42.13,5.79,2.42,1.68,31.06,14.7,56.6,34.6,excellent
21.93,33.77,28.66,14.83,42.44,5.86,2.41,1.67,30.9,14.82,56.6,34.6,excellent
21.93,33.96,28.66,14.77,42.44,5.88,2.41,1.67,31.06,14.46,56.6,34.6,excellent
22.03,33.96,28.52,14.77,42.44,5.76,2.4,1.66,30.9,14.7,56.6,34.6,excellent
22.03,33.96,28.52,14.77,42.13,5.88,2.4,1.66,30.9,14.7,56.6,34.5,excellent
22.03,33.96,28.66,14.77,42.44,5.84,2.4,1.65,31.06,14.7,56.6,34.6,excellent
22.03,34.15,28.66,14.77,42.44,5.91,2.4,1.66,30.9,14.76,56.6,34.6,excellent
22.03,33.96,28.66,14.77,42.44,5.88,2.38,1.65,30.9,14.76,56.6,34.6,excellent
22.03,33.77,28.52,14.71,42.13,5.86,2.38,1.63,30.73,14.82,56.6,34.6,excellent
25.72,9.75,9.42,25.63,15.27,3.82,5.72,1.26,37.22,16.98,56.7,36.4,excellent
25.35,9.71,9.35,25.5,15.14,3.85,5.7,1.24,37.0,17.12,57.1,36.5,excellent
25.47,9.67,9.35,25.75,15.14,3.85,5.72,1.28,36.35,17.05,57.4,36.3,excellent
25.35,9.56,9.27,25.63,15.07,3.89,5.74,1.27,36.78,16.84,59.7,36.3,excellent
25.11,9.34,9.09,25.63,14.88,3.89,5.88,1.29,35.93,16.7,58.9,36.3,excellent
24.99,9.3,9.02,25.75,14.76,3.84,5.93,1.29,35.93,16.84,59.4,36.3,excellent
24.63,8.77,8.05,22.86,13.45,3.82,5.86,1.2,33.55,15.37,62.0,35.7,excellent
