MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
48.6,23.35,12.68,19.04,41.9,27.1,accept
45.12,20.46,10.77,9.38,44.2,26.9,accept
48.94,24.13,12.74,17.67,42.5,27.1,accept
46.96,21.69,10.92,9.94,44.5,27.0,accept
45.12,20.37,10.77,9.11,44.0,26.9,accept
50.33,24.36,12.68,16.4,43.0,27.2,accept
49.63,24.36,12.56,22.97,40.3,26.9,accept
45.42,20.55,10.73,9.15,44.0,26.9,accept
48.26,23.24,12.52,19.25,41.6,27.1,accept
50.33,24.95,12.51,16.62,42.8,27.2,accept
50.33,25.19,12.63,17.15,42.8,27.2,accept
46.33,21.4,11.01,9.78,44.4,26.9,accept
49.98,24.95,12.74,22.68,40.7,26.9,accept
47.28,22.5,10.92,10.23,44.4,27.0,accept
44.82,20.65,10.87,9.34,44.0,26.9,accept
49.28,23.57,12.46,22.57,40.2,26.9,accept
48.94,24.48,12.58,16.13,43.4,27.2,accept
49.63,24.36,12.53,22.94,40.3,26.9,accept
48.94,23.79,12.53,19.71,41.6,27.1,accept
48.94,23.57,12.51,20.9,41.0,27.0,accept
47.93,22.5,12.51,21.55,40.6,27.0,accept
48.94,23.68,12.51,21.05,41.1,27.0,accept
48.94,24.13,12.6,18.06,42.1,27.1,accept
50.33,25.07,12.57,16.79,42.8,27.2,accept
49.28,24.25,12.63,21.43,41.1,27.0,accept
48.26,23.24,12.69,21.6,41.1,27.0,accept
49.28,24.25,12.6,18.23,42.2,27.2,accept
50.69,25.56,11.91,14.29,43.7,27.2,accept
48.94,23.57,11.5,12.34,44.0,27.0,accept
49.63,25.19,11.71,12.96,43.9,27.1,accept
48.94,24.25,12.61,18.25,42.1,27.1,accept
49.98,24.83,12.74,16.45,43.0,27.2,accept
48.6,23.14,12.46,20.57,41.0,27.0,accept
48.94,23.57,12.51,20.81,41.0,27.0,accept
50.33,25.07,12.57,16.8,42.8,27.2,accept
48.94,24.36,12.63,18.64,42.2,27.2,accept
50.33,25.69,11.96,14.53,43.7,27.2,accept
49.28,24.36,11.5,12.61,44.0,27.1,accept
50.69,26.07,12.13,15.06,43.6,27.2,accept
50.33,25.07,11.81,13.91,43.7,27.1,accept
49.28,25.19,11.75,13.03,43.9,27.1,accept
45.42,21.02,10.82,9.27,44.0,26.9,accept
48.6,23.46,12.74,20.57,41.3,27.0,accept
49.28,24.72,12.69,18.86,42.1,27.1,accept
48.94,23.68,12.51,21.13,41.1,27.0,accept
49.98,24.83,12.74,16.44,43.1,27.2,accept
49.28,24.6,11.91,13.57,43.9,27.1,accept
49.98,25.32,12.93,17.82,42.8,27.2,accept
49.28,24.48,12.8,20.46,41.5,27.0,accept
47.93,24.25,11.41,11.64,44.2,27.0,accept
49.63,23.91,12.4,21.9,40.6,27.0,accept
48.94,23.68,12.51,21.29,41.1,27.0,accept
48.6,22.92,12.34,21.54,40.6,27.0,accept
48.6,23.79,11.6,12.25,44.1,27.0,accept
50.69,26.58,12.63,16.07,43.5,27.2,accept
50.33,25.32,11.86,14.07,43.7,27.1,accept
50.69,25.81,12.86,17.68,42.8,27.2,accept
48.94,24.02,12.57,20.0,41.6,27.1,accept
47.93,22.71,12.57,21.42,41.0,27.0,accept
48.94,23.68,12.51,21.04,41.1,27.0,accept
49.28,24.02,12.74,17.67,42.6,27.1,accept
49.98,24.36,12.51,16.32,42.9,27.2,accept
50.33,25.81,12.02,14.7,43.6,27.2,accept
49.63,24.02,12.51,22.73,40.2,26.9,accept
48.94,23.68,12.51,21.17,41.1,27.0,accept
47.28,22.71,10.96,10.32,44.4,27.0,accept
45.12,20.83,10.87,9.34,44.0,26.9,accept
47.28,23.14,11.35,11.71,44.2,27.0,accept
50.33,26.19,12.51,15.89,43.5,27.2,accept
48.26,22.71,12.46,21.54,40.6,27.0,accept
46.96,23.14,11.34,11.76,44.1,27.0,accept
48.6,23.14,12.46,20.57,41.0,27.0,accept
46.96,22.19,10.91,10.11,44.4,27.0,accept
48.94,24.36,12.63,18.74,42.1,27.1,accept
