MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
48.6,22.3,8.43,27.93,39.3,26.7,accept
54.53,27.39,10.55,30.44,38.1,26.6,accept
34.34,10.96,5.59,21.51,40.7,26.8,accept
39.74,14.53,6.41,23.57,40.0,26.8,accept
54.94,27.53,10.59,30.46,38.1,26.6,accept
52.94,24.6,9.37,28.98,38.6,26.6,accept
41.76,16.1,6.79,24.54,39.9,26.8,accept
54.53,27.12,10.46,30.25,38.1,26.6,accept
33.96,10.79,5.54,21.41,40.8,26.8,accept
35.73,11.81,5.79,21.92,40.5,26.8,accept
32.85,10.02,5.35,21.17,41.2,26.8,accept
33.77,10.58,5.48,21.32,40.9,26.8,accept
48.6,21.89,8.38,27.8,39.3,26.7,accept
36.35,12.19,5.88,22.17,40.4,26.8,accept
52.94,25.69,9.77,29.43,38.7,26.7,accept
36.35,12.29,5.9,22.99,40.6,26.8,accept
48.6,22.61,8.53,28.25,39.4,26.7,accept
40.48,15.01,6.51,23.84,40.0,26.8,accept
44.24,18.75,7.47,26.24,39.7,26.7,accept
48.6,19.75,7.72,26.91,39.6,26.7,accept
36.57,12.29,5.9,22.19,40.4,26.8,accept
42.29,16.79,6.95,24.89,39.8,26.7,accept
33.77,10.66,5.5,21.38,40.8,26.8,accept
56.2,27.12,10.68,30.68,37.8,26.6,accept
48.26,22.3,8.5,28.19,39.4,26.7,accept
56.2,29.41,11.4,31.58,37.8,26.6,accept
54.53,26.85,10.28,30.04,38.1,26.6,accept
43.39,18.04,7.27,25.72,39.7,26.7,accept
52.94,25.69,9.77,29.42,38.7,26.7,accept
52.94,24.48,9.3,28.92,38.7,26.7,accept
43.95,18.59,7.41,26.06,39.7,26.7,accept
48.26,21.79,8.36,27.71,39.3,26.7,accept
52.94,25.69,9.76,29.4,38.7,26.7,accept
34.53,11.13,5.63,21.57,40.7,26.8,accept
52.94,25.44,9.69,29.38,38.7,26.7,accept
44.24,18.83,7.47,26.25,39.7,26.7,accept
51.79,22.92,8.7,28.59,39.4,26.7,accept
54.53,28.52,10.77,30.9,38.2,26.6,accept
52.17,23.24,8.71,28.69,39.4,26.7,accept
33.03,10.18,5.39,21.19,41.1,26.8,accept
44.53,19.49,7.59,26.8,39.7,26.7,accept
48.26,21.99,8.39,27.82,39.3,26.7,accept
29.53,10.42,5.52,22.46,40.6,26.8,accept
32.85,9.52,5.23,21.28,41.5,26.8,accept
54.53,27.25,10.5,30.29,38.1,26.6,accept
36.14,12.0,5.83,22.04,40.5,26.9,accept
38.33,13.52,6.19,22.98,40.2,26.8,accept
56.2,29.41,11.35,31.47,37.8,26.6,accept
49.63,23.03,8.64,28.58,39.4,26.7,accept
53.33,26.45,9.98,30.05,38.4,26.6,accept
